date, pm25, pm10, o3, no2, so2, co
2025/3/3, 31, 15, 34, 3, 1, 1
2025/3/4, 29, 15, 32, 4, 1, 1
2025/3/5, 35, 29, 44, 4, 1, 1
2025/3/6, 61, 34, 42, 4, 1, 2
2025/3/7, 77, 23, 40, 5, 1, 1
2025/3/8, 57, 33, 50, 5, 1, 2
2025/3/9, 78, 31, 41, 6, 1, 2
2025/3/10, 74, 31, 41, 5, 1, 1
2025/3/11, 64, 35, 42, 6, 1, 1
2025/3/12, 70, 44, 39, 4, 1, 1
2025/3/13, 68, 40, 38, 4, 1, 
2025/3/14, 51, 20, 38, 3, 1, 
2025/3/15, 40, 29, 41, 3, 1, 1
2025/3/16, 63, 32, 41, 3, 1, 1
2025/3/17, 61, 31, 43, 3, 1, 1
2025/3/18, 68, 28, 43, 3, 1, 1
2025/3/19, 64, 33, 49, 6, 1, 1
2025/3/20, 65, 52, 66, 7, 1, 1
2025/3/21, 96, 61, 76, 10, 2, 3
2025/3/22, 120, 51, 79, 8, 2, 2
2025/3/23, 105, 49, 69, 8, 1, 2
2025/3/24, 89, 53, 83, 7, 2, 3
2025/3/25, 102, 33, 46, 7, 1, 2
2025/3/26, 73, 27, 47, 5, 1, 2
2025/3/27, 55, 38, 41, 4, 1, 2
2025/3/28, 66, 28, 40, 4, 1, 2
2025/3/29, 51, 27, 40, 4, 1, 2
2025/3/30, 46, 39, 54, 6, 1, 2
2025/3/31, 70, 41, 52, 5, 1, 2
2024/10/1, 52, 21, 38, 3, 1, 1
2024/10/2, 45, 16, 35, 3, 1, 1
2024/10/3, 39, 12, 38, 3, 1, 1
2024/10/4, 24, 18, 43, 3, 1, 1
2024/10/5, 30, 15, 40, 3, 1, 1
2024/10/6, 29, 15, 59, 3, 1, 1
2024/10/7, 39, 29, 55, 3, 1, 2
2024/10/8, 67, 18, 41, 3, 1, 1
2024/10/9, 44, 18, 40, 3, 1, 1
2024/10/10, 36, 18, 41, 3, 1, 2
2024/10/11, 47, 20, 48, 4, 1, 2
2024/10/12, 50, 19, 42, 3, 1, 1
2024/10/13, 45, 24, 37, 4, 1, 1
2024/10/14, 56, 21, 34, 4, 1, 1
2024/10/15, 53, 20, 41, 3, 1, 2
2024/10/16, 49, 30, 34, 3, 1, 2
2024/10/17, 55, 22, 31, 3, 1, 1
2024/10/18, 41, 20, 33, 3, 1, 2
2024/10/19, 39, 24, 31, 2, 1, 1
2024/10/20, 41, 24, 29, 3, 1, 1
2024/10/21, 45, 19, 29, 3, 1, 1
2024/10/22, 35, 20, 35, 3, 1, 1
2024/10/23, 40, 17, 40, 3, 1, 1
2024/10/24, 40, 23, 36, 3, 1, 1
2024/10/25, 44, 23, 30, 3, 1, 1
2024/10/26, 42, 17, 37, 3, 1, 1
2024/10/27, 44, 30, 39, 3, 1, 2
2024/10/28, 69, 22, 36, 3, 1, 2
2024/10/29, 45, 21, 43, 4, 1, 2
2024/10/30, 48, 24, 37, 3, 1, 1
2024/10/31, 51, 12, 37, 2, 1, 1
2024/11/1, 22, 11, 34, 3, 1, 1
2024/11/2, 24, , , , , 
2024/11/8, 42, 17, 33, 3, 1, 1
2024/11/9, 37, 16, 31, 3, 1, 1
2024/11/10, 40, 21, 38, 3, 1, 1
2024/11/11, 49, 25, 43, 3, 1, 2
2024/11/12, 66, 30, 39, 4, 1, 2
