date,stn_id,rain_dur,rain_d99,rain_yn
20250103,294,-9.0,-9.0,False
20250103,295,-9.0,-9.0,False
20250103,296,-9.0,-9.0,False
20250104,90,-9.0,-9.0,False
20250104,93,-9.0,1.5,True
20250104,95,-9.0,2.8,True
20250104,98,-9.0,-9.0,False
20250104,99,-9.0,-9.0,False
20250104,100,-9.0,-9.0,False
20250104,101,-9.0,1.0,True
20250104,102,-9.0,-9.0,False
20250104,104,-9.0,-9.0,False
20250104,105,-9.0,-9.0,False
20250104,106,-9.0,-9.0,False
20250104,108,-9.0,4.4,True
20250104,112,-9.0,5.3,True
20250104,114,-9.0,-9.0,False
20250104,115,4.17,0.0,True
20250104,119,-9.0,1.5,True
20250104,121,-9.0,-9.0,False
20250104,127,-9.0,-9.0,False
20250104,129,-9.0,0.9,True
20250104,130,-9.0,-9.0,False
20250104,131,-9.0,0.0,False
20250104,133,-9.0,0.0,False
20250104,135,-9.0,-9.0,False
20250104,136,-9.0,-9.0,False
20250104,137,-9.0,-9.0,False
20250104,138,-9.0,-9.0,False
20250104,140,-9.0,-9.0,False
20250104,143,-9.0,-9.0,False
20250104,146,-9.0,0.0,False
20250104,152,-9.0,-9.0,False
20250104,155,-9.0,-9.0,False
20250104,156,-9.0,-9.0,False
20250104,159,-9.0,-9.0,False
20250104,162,-9.0,-9.0,False
20250104,165,0.63,0.1,True
20250104,168,-9.0,-9.0,False
20250104,169,-9.0,-9.0,False
20250104,170,-9.0,-9.0,False
20250104,172,-9.0,-9.0,False
20250104,174,-9.0,-9.0,False
20250104,177,-9.0,0.1,True
20250104,181,-9.0,-9.0,False
20250104,184,-9.0,0.1,True
20250104,185,-9.0,-9.0,False
20250104,188,-9.0,-9.0,False
20250104,189,-9.0,0.0,False
20250104,192,-9.0,-9.0,False
20250104,201,-9.0,-9.0,False
20250104,202,-9.0,-9.0,False
20250104,203,-9.0,-9.0,False
20250104,211,-9.0,-9.0,False
20250104,212,-9.0,-9.0,False
20250104,216,-9.0,-9.0,False
20250104,217,-9.0,-9.0,False
20250104,221,-9.0,-9.0,False
20250104,226,-9.0,-9.0,False
20250104,232,-9.0,-9.0,False
20250104,235,-9.0,-9.0,False
20250104,236,-9.0,-9.0,False
20250104,238,-9.0,-9.0,False
20250104,239,-9.0,-9.0,False
